frame,x_0,y_0,z_0,visibility_0,x_1,y_1,z_1,visibility_1,x_2,y_2,z_2,visibility_2,x_3,y_3,z_3,visibility_3,x_4,y_4,z_4,visibility_4,x_5,y_5,z_5,visibility_5,x_6,y_6,z_6,visibility_6,x_7,y_7,z_7,visibility_7,x_8,y_8,z_8,visibility_8,x_9,y_9,z_9,visibility_9,x_10,y_10,z_10,visibility_10,x_11,y_11,z_11,visibility_11,x_12,y_12,z_12,visibility_12,x_13,y_13,z_13,visibility_13,x_14,y_14,z_14,visibility_14,x_15,y_15,z_15,visibility_15,x_16,y_16,z_16,visibility_16,x_17,y_17,z_17,visibility_17,x_18,y_18,z_18,visibility_18,x_19,y_19,z_19,visibility_19,x_20,y_20,z_20,visibility_20,x_21,y_21,z_21,visibility_21,x_22,y_22,z_22,visibility_22,x_23,y_23,z_23,visibility_23,x_24,y_24,z_24,visibility_24,x_25,y_25,z_25,visibility_25,x_26,y_26,z_26,visibility_26,x_27,y_27,z_27,visibility_27,x_28,y_28,z_28,visibility_28,x_29,y_29,z_29,visibility_29,x_30,y_30,z_30,visibility_30,x_31,y_31,z_31,visibility_31,x_32,y_32,z_32,visibility_32
1,0.5421143770217896,0.13155581057071686,-0.014775751158595085,0.9997643232345581,0.5365705490112305,0.11495015025138855,-0.0012094862759113312,0.9996088743209839,0.535415530204773,0.1143372505903244,-0.0012403877917677164,0.9995222687721252,0.5340148210525513,0.11352995783090591,-0.0012775106588378549,0.9996541738510132,0.5356274843215942,0.11500759422779083,-0.03238217160105705,0.9997115135192871,0.5340486168861389,0.11450310796499252,-0.03241061419248581,0.9997210502624512,0.5323793292045593,0.11389562487602234,-0.0324738547205925,0.9997802972793579,0.5224889516830444,0.11821643263101578,0.06655053794384003,0.9992669820785522,0.5213780999183655,0.11922463029623032,-0.0757443755865097,0.9998316168785095,0.5379921793937683,0.14500123262405396,0.014342929236590862,0.9990580677986145,0.5365036129951477,0.1443539261817932,-0.02658904530107975,0.999581515789032,0.5023255348205566,0.20482830703258514,0.18227331340312958,0.9990211725234985,0.5029315948486328,0.19309383630752563,-0.1613534837961197,0.9999539256095886,0.48302507400512695,0.3185369074344635,0.2403365671634674,0.08768647164106369,0.47190508246421814,0.3106348216533661,-0.23744900524616241,0.9849282503128052,0.5029807090759277,0.3937319815158844,0.20066817104816437,0.038218360394239426,0.5271605253219604,0.36982810497283936,-0.2458862066268921,0.9173293113708496,0.5145168304443359,0.403543084859848,0.2021418809890747,0.049625519663095474,0.5399457216262817,0.385545015335083,-0.27188748121261597,0.8837723135948181,0.520058274269104,0.3976174294948578,0.1784684956073761,0.05113264545798302,0.5453431606292725,0.37441638112068176,-0.25452134013175964,0.8759179711341858,0.5146291851997375,0.3923290967941284,0.1875997632741928,0.05445759743452072,0.5405993461608887,0.3701561689376831,-0.23707301914691925,0.8226925730705261,0.472506046295166,0.4474330544471741,0.1043672114610672,0.998988151550293,0.4873387813568115,0.4386330842971802,-0.10433369874954224,0.9986542463302612,0.5010285973548889,0.6162394881248474,0.0903056263923645,0.857664942741394,0.5320161581039429,0.548462986946106,-0.12438319623470306,0.9844774603843689,0.46957916021347046,0.7659054398536682,0.11669854074716568,0.9338284134864807,0.4383981227874756,0.6136157512664795,-0.06495459377765656,0.9857915043830872,0.4488953948020935,0.8048754334449768,0.11428461968898773,0.9282267093658447,0.4306132197380066,0.6583542227745056,-0.060442499816417694,0.963972806930542,0.5140228867530823,0.8085054159164429,0.07071004807949066,0.914485514163971,0.4633391499519348,0.6744039058685303,-0.08943238854408264,0.9763360619544983
2,0.5428399443626404,0.1320069134235382,-0.015603810548782349,0.9996118545532227,0.537382960319519,0.11488661170005798,-0.0035807336680591106,0.9993311762809753,0.5363264083862305,0.11430726945400238,-0.003616821486502886,0.9991902709007263,0.5349848866462708,0.11359227448701859,-0.0036470491904765368,0.999422550201416,0.5362244844436646,0.1151406392455101,-0.03616899624466896,0.999514102935791,0.5345487594604492,0.11479586362838745,-0.036191049963235855,0.9995192885398865,0.5327751040458679,0.11436483263969421,-0.03627154603600502,0.9996383190155029,0.5234842300415039,0.11840971559286118,0.05673480033874512,0.9988147020339966,0.5218047499656677,0.11978500336408615,-0.09007099270820618,0.9996840953826904,0.5391250848770142,0.1456899344921112,0.011033800430595875,0.998678982257843,0.5373703241348267,0.14498063921928406,-0.031320326030254364,0.9994111061096191,0.5044165849685669,0.20505158603191376,0.16700956225395203,0.9988504648208618,0.5023476481437683,0.19556912779808044,-0.1726832389831543,0.9999476075172424,0.4871215224266052,0.3169463574886322,0.23225143551826477,0.08142746239900589,0.473604291677475,0.3130866289138794,-0.2397506982088089,0.9848250150680542,0.5124162435531616,0.3820651173591614,0.19635026156902313,0.03688324987888336,0.5289555191993713,0.3665316700935364,-0.24160349369049072,0.9190793633460999,0.5255516767501831,0.3914699852466583,0.19845718145370483,0.04830262064933777,0.5404567122459412,0.37858474254608154,-0.26782283186912537,0.8859442472457886,0.5294069051742554,0.38374340534210205,0.17418549954891205,0.049771081656217575,0.5474861264228821,0.3668103814125061,-0.2534532845020294,0.8780726194381714,0.5260816812515259,0.3779154121875763,0.18317046761512756,0.05319099873304367,0.5423240661621094,0.36364394426345825,-0.23405715823173523,0.8246264457702637,0.4732542932033539,0.4469347298145294,0.1044001430273056,0.9987186193466187,0.48488983511924744,0.4397149682044983,-0.1043596863746643,0.9984411001205444,0.49915415048599243,0.6092625260353088,0.09478329122066498,0.833326518535614,0.5222150683403015,0.5550947785377502,-0.11802013218402863,0.98401939868927,0.4612955152988434,0.7593210935592651,0.1441088616847992,0.9151743650436401,0.45435675978660583,0.708721399307251,-0.05636829137802124,0.9841088056564331,0.44344034790992737,0.7953376770019531,0.14395014941692352,0.9093618392944336,0.43244796991348267,0.7363780736923218,-0.05219800025224686,0.9593895673751831,0.5152497887611389,0.8121141195297241,0.10468846559524536,0.9040292501449585,0.47970646619796753,0.7517384886741638,-0.0909956842660904,0.9751860499382019
3,0.5438428521156311,0.13334640860557556,-0.014782330021262169,0.9995214939117432,0.5386751890182495,0.11512794345617294,-0.00232171593233943,0.9992027878761292,0.5376734733581543,0.11454586684703827,-0.0023330028634518385,0.9990339875221252,0.536361813545227,0.1138727217912674,-0.0023716301657259464,0.9993207454681396,0.537368655204773,0.11522774398326874,-0.03283097594976425,0.9994388818740845,0.5356572866439819,0.114761583507061,-0.032853975892066956,0.9994451999664307,0.5337197184562683,0.11423365026712418,-0.0329216793179512,0.9995812177658081,0.5244507193565369,0.11816436797380447,0.06084107235074043,0.9986730813980103,0.5224811434745789,0.11910507082939148,-0.08624374866485596,0.9996259212493896,0.5399762392044067,0.14710023999214172,0.013319221325218678,0.998573899269104,0.5382028222084045,0.1459796130657196,-0.027453020215034485,0.999369740486145,0.5038567185401917,0.20540620386600494,0.1716449111700058,0.9987813830375671,0.5027784109115601,0.19344082474708557,-0.17310722172260284,0.9999455213546753,0.4850223958492279,0.3169640004634857,0.24560633301734924,0.07522304356098175,0.4757874608039856,0.3091456890106201,-0.2582089602947235,0.9840911030769348,0.5140025019645691,0.3749162554740906,0.22553160786628723,0.03642382472753525,0.5310518145561218,0.3583589196205139,-0.2905784845352173,0.9212881922721863,0.5238476395606995,0.38906174898147583,0.23243650794029236,0.048577435314655304,0.5447002053260803,0.368856817483902,-0.32260337471961975,0.8896409869194031,0.5280847549438477,0.379120796918869,0.20655879378318787,0.04990769922733307,0.5510257482528687,0.3575684130191803,-0.3045177459716797,0.8817311525344849,0.5234737992286682,0.3751682639122009,0.2125968635082245,0.053189199417829514,0.5452214479446411,0.3549978733062744,-0.2825755178928375,0.8287683725357056,0.4728832244873047,0.4467388689517975,0.10820113122463226,0.9988016486167908,0.48272281885147095,0.43813541531562805,-0.10810472071170807,0.9985193014144897,0.49520397186279297,0.6086521744728088,0.09032527357339859,0.8347625732421875,0.5385546684265137,0.49713659286499023,-0.11210012435913086,0.9834476113319397,0.44940346479415894,0.7699874639511108,0.12854228913784027,0.9165503978729248,0.5054002404212952,0.6594576239585876,-0.017327867448329926,0.9832468032836914,0.43474364280700684,0.7995671033859253,0.12507227063179016,0.912345826625824,0.4859387278556824,0.6893731951713562,-0.011372042819857597,0.9585948586463928,0.5017255544662476,0.815885603427887,0.07037147879600525,0.907516598701477,0.5428017377853394,0.6994033455848694,-0.044933658093214035,0.9750677943229675
4,0.5439833998680115,0.1324097365140915,-0.013014191761612892,0.9995510578155518,0.5387047529220581,0.11447321623563766,-0.0015533099649474025,0.9992583394050598,0.5377352833747864,0.11387413740158081,-0.001555351889692247,0.9990943670272827,0.5364891886711121,0.11317308992147446,-0.0015921486774459481,0.9993657469749451,0.5373603701591492,0.11456406116485596,-0.03197185695171356,0.999480128288269,0.5356498956680298,0.11406756192445755,-0.031980082392692566,0.9994837045669556,0.5337234735488892,0.1134839728474617,-0.0320277139544487,0.999611496925354,0.524783730506897,0.11758439987897873,0.062304042279720306,0.9987732768058777,0.5225058794021606,0.11846336722373962,-0.08272992074489594,0.9996513724327087,0.5403298139572144,0.1462639570236206,0.015389357693493366,0.9986786246299744,0.5384951829910278,0.14508941769599915,-0.02557033859193325,0.9994140863418579,0.5027931928634644,0.20490369200706482,0.17219090461730957,0.99881511926651,0.5029506683349609,0.19192169606685638,-0.16791900992393494,0.999947190284729,0.48188647627830505,0.31592071056365967,0.25133782625198364,0.06960507482290268,0.479196697473526,0.3071170449256897,-0.25759077072143555,0.9838258624076843,0.5089081525802612,0.3723321557044983,0.24752752482891083,0.03603985160589218,0.5397433042526245,0.34077444672584534,-0.2774965167045593,0.9206998944282532,0.5221623778343201,0.3850027620792389,0.2550295293331146,0.04877329245209694,0.5550614595413208,0.34506919980049133,-0.3052200973033905,0.8894258141517639,0.5257236361503601,0.37579455971717834,0.2318389117717743,0.04997864365577698,0.5591133236885071,0.3325931131839752,-0.28973716497421265,0.8813850283622742,0.5198996067047119,0.3723277151584625,0.23606336116790771,0.0531018003821373,0.5536085367202759,0.3310764729976654,-0.270079106092453,0.8285293579101562,0.47264012694358826,0.4464171826839447,0.10756983608007431,0.9989062547683716,0.48320508003234863,0.43453627824783325,-0.10749669373035431,0.9986304640769958,0.4842351973056793,0.6114323735237122,0.06922225654125214,0.8391889333724976,0.5625437498092651,0.4911191761493683,-0.05746976658701897,0.9802879691123962,0.4293516278266907,0.7698161005973816,0.06998813897371292,0.9182418584823608,0.5412768125534058,0.6310831308364868,0.030705058947205544,0.9791937470436096,0.40862947702407837,0.8002777695655823,0.0658867359161377,0.9157906174659729,0.5262497663497925,0.6556156873703003,0.036477141082286835,0.9539645910263062,0.46132993698120117,0.818523645401001,0.015844479203224182,0.9097536206245422,0.573296070098877,0.6649930477142334,0.014652373269200325,0.9710578322410583
5,0.5439643859863281,0.12975265085697174,-0.011999446898698807,0.9995886087417603,0.5386391878128052,0.1111944168806076,-0.0014144238084554672,0.9993236064910889,0.5376582145690918,0.11070577055215836,-0.001418393338099122,0.9991722106933594,0.5364029407501221,0.11007475107908249,-0.0014856192283332348,0.9994214177131653,0.537330150604248,0.11080395430326462,-0.03140290826559067,0.9995271563529968,0.5356307625770569,0.11007706075906754,-0.031414203345775604,0.9995299577713013,0.5337114334106445,0.1092190220952034,-0.031432539224624634,0.9996463656425476,0.5248602628707886,0.11473530530929565,0.0635501965880394,0.9988870024681091,0.5225368738174438,0.11453736573457718,-0.08206478506326675,0.9996821880340576,0.5402759313583374,0.14444181323051453,0.015577388927340508,0.9987924695014954,0.5385112762451172,0.14270037412643433,-0.025151649489998817,0.9994622468948364,0.5023661851882935,0.2033730149269104,0.17676439881324768,0.9988604187965393,0.5038872361183167,0.18635216355323792,-0.16571220755577087,0.9999496340751648,0.46455496549606323,0.3027881979942322,0.3193410038948059,0.0698418915271759,0.4909323751926422,0.2951175570487976,-0.26652857661247253,0.9844726324081421,0.4796554148197174,0.3267063498497009,0.4045920968055725,0.04155540466308594,0.5507499575614929,0.31528422236442566,-0.31625276803970337,0.925272524356842,0.47978273034095764,0.337239146232605,0.42643851041793823,0.05634408816695213,0.5659069418907166,0.3179573118686676,-0.3458705246448517,0.8956068158149719,0.48723849654197693,0.3240604102611542,0.40173882246017456,0.057676468044519424,0.5675803422927856,0.3027525246143341,-0.32705020904541016,0.8880181908607483,0.48811468482017517,0.32011866569519043,0.39590585231781006,0.06044204533100128,0.5631879568099976,0.3027835190296173,-0.30799421668052673,0.8368672132492065,0.4732832908630371,0.44633936882019043,0.10872574895620346,0.9989890456199646,0.48240336775779724,0.43449029326438904,-0.10868215560913086,0.9987223744392395,0.4698486924171448,0.6144868731498718,0.07069722563028336,0.8439928293228149,0.5387468338012695,0.5033364295959473,-0.06947393715381622,0.9792352318763733,0.4146654009819031,0.762097954750061,0.09413240104913712,0.9206368923187256,0.504969596862793,0.640500009059906,0.005642862990498543,0.9787048101425171,0.3932000994682312,0.7968053817749023,0.09364108741283417,0.9184013605117798,0.4847227931022644,0.6598174571990967,0.011452500708401203,0.9539116024971008,0.4453928470611572,0.8157193660736084,0.0491044744849205,0.9139888286590576,0.5285967588424683,0.6848357319831848,-0.012257606722414494,0.9716825485229492
6,0.543862521648407,0.12332690507173538,-0.019608765840530396,0.999622106552124,0.5383798480033875,0.10401765257120132,-0.009198443032801151,0.9993817806243896,0.5373899340629578,0.10354142636060715,-0.009217077866196632,0.99924236536026,0.5361717939376831,0.10311685502529144,-0.009243692271411419,0.999470591545105,0.5371869802474976,0.1036006510257721,-0.04064471274614334,0.9995681643486023,0.535539984703064,0.10289415717124939,-0.040666501969099045,0.9995701313018799,0.5336774587631226,0.10227439552545547,-0.04069414362311363,0.9996766448020935,0.5248335599899292,0.10822735726833344,0.051196180284023285,0.9989855289459229,0.5225461721420288,0.10826695710420609,-0.09186163544654846,0.9997075200080872,0.5400412082672119,0.13781923055648804,0.006791442632675171,0.9988885521888733,0.5384355783462524,0.13589872419834137,-0.03446488827466965,0.9995018839836121,0.4992896616458893,0.19462716579437256,0.1595964878797531,0.9988678097724915,0.5057477355003357,0.17969800531864166,-0.1733006238937378,0.9999498128890991,0.4626471996307373,0.2931281328201294,0.29641109704971313,0.07824084162712097,0.4964047968387604,0.2906929552555084,-0.24905869364738464,0.9852664470672607,0.46438494324684143,0.31370100378990173,0.3604829013347626,0.04874230548739433,0.553390383720398,0.30059459805488586,-0.2439149171113968,0.9298862218856812,0.46321097016334534,0.3229566514492035,0.37822234630584717,0.06515156477689743,0.5698651671409607,0.30175116658210754,-0.26931095123291016,0.9016265869140625,0.4700678288936615,0.31011906266212463,0.3545527458190918,0.06695613265037537,0.5693821310997009,0.2870984375476837,-0.2553116977214813,0.8946359753608704,0.4718715250492096,0.306465208530426,0.3514639139175415,0.06937872618436813,0.5644957423210144,0.28708890080451965,-0.23639139533042908,0.8450886011123657,0.4720679819583893,0.44443249702453613,0.10841679573059082,0.9990236163139343,0.47983232140541077,0.4346035122871399,-0.10839104652404785,0.9987804293632507,0.468113511800766,0.6036081314086914,0.0738479271531105,0.8485334515571594,0.4894894063472748,0.5513678193092346,-0.0670170709490776,0.9800387024879456,0.4191303849220276,0.7285375595092773,0.1408207267522812,0.922675609588623,0.4223383367061615,0.7149077653884888,0.008391101844608784,0.9800078272819519,0.40074604749679565,0.7628673911094666,0.14458821713924408,0.9198387265205383,0.42034387588500977,0.7316434979438782,0.014177113771438599,0.9558534622192383,0.4493788182735443,0.7976893186569214,0.11110607534646988,0.9182804822921753,0.46591025590896606,0.7608408331871033,-0.019965479150414467,0.973517119884491
7,0.5434771776199341,0.11333653330802917,-0.05762488394975662,0.9996577501296997,0.5377553105354309,0.09539277851581573,-0.04170028492808342,0.9994410872459412,0.5368221998214722,0.09512511640787125,-0.041696906089782715,0.99931401014328,0.5357232689857483,0.09493676573038101,-0.0417020246386528,0.9995200634002686,0.5365504026412964,0.09502774477005005,-0.07025881111621857,0.9996099472045898,0.5349296927452087,0.09455442428588867,-0.07028237730264664,0.999611496925354,0.5331438779830933,0.09426691383123398,-0.0703033059835434,0.999707818031311,0.5247992873191833,0.10142132639884949,0.037349872291088104,0.9990813136100769,0.5223535299301147,0.10209286957979202,-0.09249574691057205,0.9997348189353943,0.5396188497543335,0.12958796322345734,-0.02501300536096096,0.998982310295105,0.5380480885505676,0.12799713015556335,-0.06203841418027878,0.9995406270027161,0.49799346923828125,0.18930655717849731,0.15577057003974915,0.9988703727722168,0.5072468519210815,0.17498783767223358,-0.17378929257392883,0.9999488592147827,0.46026715636253357,0.28295445442199707,0.2940283715724945,0.09203110635280609,0.4990277886390686,0.2854321300983429,-0.263232946395874,0.9860822558403015,0.46282482147216797,0.30167630314826965,0.38470354676246643,0.052832212299108505,0.5528606176376343,0.2865354120731354,-0.26175567507743835,0.9320981502532959,0.4635823667049408,0.31306833028793335,0.4078357219696045,0.06825201958417892,0.5691510438919067,0.2866804897785187,-0.2746259868144989,0.903378427028656,0.4694327712059021,0.3013915717601776,0.3887104094028473,0.07024621218442917,0.5676853656768799,0.2748103737831116,-0.2708094120025635,0.8969287276268005,0.47028541564941406,0.2978540360927582,0.3783706724643707,0.07228308171033859,0.5623799562454224,0.2745860517024994,-0.2560957968235016,0.8478087186813354,0.46911492943763733,0.44327518343925476,0.10597255080938339,0.99906986951828,0.4788757264614105,0.4345974326133728,-0.1060435026884079,0.9988337755203247,0.44818782806396484,0.5994710326194763,0.07936674356460571,0.8544455766677856,0.5044726133346558,0.5472578406333923,-0.046877868473529816,0.97978276014328,0.3899118900299072,0.7377243041992188,0.12494678795337677,0.925821840763092,0.4381561279296875,0.7087185978889465,0.03502512723207474,0.9800815582275391,0.38256996870040894,0.7731205224990845,0.12580606341362,0.9225847721099854,0.43224501609802246,0.7218597531318665,0.04167885333299637,0.955520749092102,0.4158961772918701,0.8051912784576416,0.08671127259731293,0.921739399433136,0.4923314154148102,0.7606117129325867,0.02230782061815262,0.974117636680603
8,0.5428481101989746,0.10791470110416412,-0.04346666485071182,0.9996907711029053,0.5372177958488464,0.09079767763614655,-0.0292629636824131,0.9994955062866211,0.5362825393676758,0.09060618281364441,-0.029254967346787453,0.9993802309036255,0.535225510597229,0.09047139436006546,-0.02925170585513115,0.9995661973953247,0.5360995531082153,0.09027107059955597,-0.057044655084609985,0.9996480345726013,0.534532904624939,0.0898333340883255,-0.05706965923309326,0.9996493458747864,0.532812237739563,0.08956148475408554,-0.057100169360637665,0.9997363090515137,0.5246528387069702,0.09670159965753555,0.04389607533812523,0.9991702437400818,0.5222877860069275,0.09701330214738846,-0.0829431563615799,0.9997597932815552,0.5388743281364441,0.12477609515190125,-0.013184201903641224,0.9990754127502441,0.5373769998550415,0.12310865521430969,-0.04942508414387703,0.9995806813240051,0.4963967800140381,0.18512409925460815,0.15594609081745148,0.9989223480224609,0.5091630220413208,0.17049306631088257,-0.16552385687828064,0.999951183795929,0.45576396584510803,0.2741902768611908,0.3008168935775757,0.11744248867034912,0.5026525259017944,0.27782517671585083,-0.2648499011993408,0.9871286749839783,0.46363458037376404,0.29004958271980286,0.42223310470581055,0.056582290679216385,0.5557922124862671,0.2767512798309326,-0.29231199622154236,0.9356831908226013,0.4666207432746887,0.29954826831817627,0.44937068223953247,0.07030937820672989,0.5699082612991333,0.273394912481308,-0.310194194316864,0.9070541262626648,0.4729101061820984,0.2885728180408478,0.4316391050815582,0.0724051222205162,0.5682129263877869,0.26310932636260986,-0.29792487621307373,0.9010058641433716,0.4730633795261383,0.2855834662914276,0.41742244362831116,0.07451169937849045,0.5624789595603943,0.26434534788131714,-0.2851521670818329,0.8532154560089111,0.46702733635902405,0.4388604164123535,0.1026461124420166,0.9991267919540405,0.4793632924556732,0.4325019121170044,-0.10272271931171417,0.9989064931869507,0.43859171867370605,0.5907321572303772,0.05917922407388687,0.8588924407958984,0.5079876184463501,0.5462262034416199,-0.05174553394317627,0.9796727299690247,0.37719032168388367,0.7379985451698303,0.06153953820466995,0.9291168451309204,0.4774453639984131,0.7000430822372437,0.015869444236159325,0.9807591438293457,0.3724827766418457,0.7758072018623352,0.05852155759930611,0.925877034664154,0.45304250717163086,0.7195191979408264,0.022515807300806046,0.9570809006690979,0.4002830982208252,0.8080040216445923,0.023017751052975655,0.9257753491401672,0.517009437084198,0.76472008228302,-0.002275900449603796,0.975409984588623
9,0.5423339605331421,0.1038331538438797,-0.02438265271484852,0.9997210502624512,0.5366003513336182,0.08616738766431808,-0.013935575261712074,0.999545156955719,0.5355916023254395,0.0859910175204277,-0.013882908038794994,0.9994410276412964,0.5344804525375366,0.08589400351047516,-0.013848230242729187,0.9996086955070496,0.5358073711395264,0.08581505715847015,-0.03917672485113144,0.9996827840805054,0.5343571901321411,0.08547160029411316,-0.03919001296162605,0.9996838569641113,0.5327204465866089,0.08524907380342484,-0.03921806067228317,0.9997622966766357,0.5239983201026917,0.09262979030609131,0.05245094373822212,0.9992520809173584,0.5223003625869751,0.09258488565683365,-0.0685199722647667,0.9997830390930176,0.5381336212158203,0.1203322485089302,0.0039810799062252045,0.9991647601127625,0.5369997620582581,0.11865430325269699,-0.03032289445400238,0.9996204376220703,0.492562860250473,0.18227234482765198,0.15593008697032928,0.9990060925483704,0.5106838941574097,0.16296011209487915,-0.1491490602493286,0.9999548196792603,0.44588392972946167,0.26820337772369385,0.3154817223548889,0.13457287847995758,0.5046054124832153,0.2692757546901703,-0.2778405547142029,0.98799067735672,0.4671207368373871,0.27980750799179077,0.45735782384872437,0.05634920299053192,0.5561870336532593,0.2634439766407013,-0.3408219814300537,0.9389695525169373,0.47275152802467346,0.28664886951446533,0.4856610894203186,0.06928516179323196,0.5684031248092651,0.2605137228965759,-0.36162638664245605,0.9110530614852905,0.4795111119747162,0.27780547738075256,0.4674593508243561,0.07139818370342255,0.5673379302024841,0.2506652772426605,-0.34577369689941406,0.9054957032203674,0.478886216878891,0.2767740488052368,0.45334500074386597,0.07442272454500198,0.561367392539978,0.25159406661987305,-0.33291345834732056,0.8593915104866028,0.46487969160079956,0.43505415320396423,0.09689457714557648,0.9992054104804993,0.48303699493408203,0.4303010404109955,-0.09701944887638092,0.9990026950836182,0.43130654096603394,0.5819451808929443,0.0528017096221447,0.8707842826843262,0.541862428188324,0.5307735800743103,-0.009347506798803806,0.9785803556442261,0.363800585269928,0.7351144552230835,0.030849847942590714,0.934384822845459,0.5087037086486816,0.6959218978881836,0.06992072612047195,0.9807649254798889,0.34754908084869385,0.7564261555671692,0.026898730546236038,0.9321361184120178,0.4887649416923523,0.7189027667045593,0.07785061746835709,0.9593618512153625,0.378664493560791,0.8086709976196289,-0.007089970167726278,0.9271639585494995,0.5346653461456299,0.7591007947921753,0.06958189606666565,0.9738130569458008
10,0.5421580076217651,0.10274117439985275,-0.02173450216650963,0.9997484683990479,0.536444902420044,0.08451291918754578,-0.013190904632210732,0.9995899796485901,0.5353846549987793,0.08423054218292236,-0.013096891343593597,0.9994959235191345,0.5342370271682739,0.08404790610074997,-0.013034753501415253,0.9996470808982849,0.535767674446106,0.08407661318778992,-0.03769402951002121,0.9997141361236572,0.5343403816223145,0.08356422930955887,-0.03769858181476593,0.9997150301933289,0.5327183604240417,0.08318373560905457,-0.03771434724330902,0.9997857213020325,0.523771345615387,0.09034814685583115,0.05386347323656082,0.9993258714675903,0.5223543643951416,0.08993391692638397,-0.0698227733373642,0.9998040199279785,0.5378717184066772,0.11880788952112198,0.005873220041394234,0.9992456436157227,0.5369000434875488,0.11726154386997223,-0.028569180518388748,0.999656617641449,0.48989009857177734,0.1806953251361847,0.15074433386325836,0.9990859627723694,0.5126383304595947,0.15859247744083405,-0.14940088987350464,0.9999581575393677,0.4444957673549652,0.26584380865097046,0.3083187937736511,0.1438455581665039,0.5048497915267944,0.2653651833534241,-0.27396002411842346,0.9886825084686279,0.4675106406211853,0.2747190296649933,0.44639039039611816,0.05437980964779854,0.554471492767334,0.25712817907333374,-0.3172466456890106,0.9403449296951294,0.48022231459617615,0.2801652252674103,0.4745144248008728,0.06648628413677216,0.5671434998512268,0.25419098138809204,-0.3530908226966858,0.9120544791221619,0.48939117789268494,0.2718973159790039,0.45604243874549866,0.06856463104486465,0.5672548413276672,0.24473872780799866,-0.33840519189834595,0.9069308638572693,0.4870174825191498,0.27170225977897644,0.4420086443424225,0.07226376235485077,0.5611168146133423,0.24521853029727936,-0.30938291549682617,0.8618941307067871,0.4625023305416107,0.43199867010116577,0.09609139710664749,0.999273955821991,0.4868295192718506,0.42926228046417236,-0.09621091187000275,0.999089777469635,0.4269254207611084,0.5741440057754517,0.05925251170992851,0.881571888923645,0.5472940802574158,0.5295026302337646,-0.0018766835564747453,0.9786321520805359,0.3587794899940491,0.7184599041938782,0.056669484823942184,0.9393197894096375,0.5256994366645813,0.7028110027313232,0.08409097045660019,0.9815927743911743,0.34169548749923706,0.7317575216293335,0.054360441863536835,0.937793493270874,0.5103185176849365,0.7315461039543152,0.09334255009889603,0.9621368050575256,0.3640480041503906,0.7960241436958313,0.011995398439466953,0.9276167154312134,0.5563117265701294,0.7600643634796143,0.0987548753619194,0.9734088778495789
